,team,oline,qb,rb,wrte,dst,season
11,atl,46.36300983647641,12.511633719212439,7.513943652954624,35.61003443160463,72.27935373044245,2013
33,buf,37.09040786918113,8.63802227726757,11.285326838142094,24.5851403276077,107.46020784004209,2013
44,car,49.871561932209765,11.862108143022702,14.222381460872096,33.76138471475692,131.30478129024218,2013
55,chi,54.13194661988597,13.884231101746268,11.557447090992914,39.516657751123994,73.15408746137278,2013
66,cin,47.86667502036213,12.288968735027105,10.174745658945705,34.976295630461756,126.71012361381615,2013
77,cle,35.0855209573335,9.286766749969717,6.38429149507052,26.43156690375996,97.81394654322833,2013
143,clt,49.37034020424785,12.484032212907744,11.22889973391381,35.531476298275884,105.1024669150713,2013
0,crd,42.854457740743065,11.161438022111021,8.496741511541593,31.76716975523906,116.88513342721988,2013
88,dal,54.633168347847885,14.252707321535661,10.741696934588004,40.5653977612938,78.06752608962553,2013
99,den,70.92287450660986,18.75997934731319,12.9536826874965,53.39378737312215,98.90106572472301,2013
110,det,46.61362070045736,12.073535386263334,9.499670277997561,34.36313917628795,103.3717442778216,2013
121,gnb,53.88133575590502,13.476990312780831,12.8230247810059,38.35758781329929,80.82696334418125,2013
132,htx,32.328801453543015,8.20510302659651,7.2364731804188915,23.35298553723622,94.61976801365307,2013
154,jax,29.572081949752523,7.756081944677975,5.65541393709543,22.07500245792962,83.1736975267207,2013
165,kan,44.859344652590686,10.82523671383684,12.19568776065944,30.810289108612547,119.57803403908191,2013
209,mia,39.095294781028755,10.11187299121118,8.02253454026843,28.779946205754896,109.87905942595337,2013
220,min,46.86423156443832,11.336944111582293,12.63344667893255,32.26668708681114,79.43979891493703,2013
242,nor,57.38988785163836,15.451812837844907,9.437816045639483,43.97823653848166,112.36360497237567,2013
231,nwe,52.62828143600025,13.14285759709256,12.604485426690461,37.40659469941728,111.1128163153946,2013
253,nyg,33.331244909466825,8.7253069601055,6.438620967877493,24.833565963377193,112.99558706000906,2013
264,nyj,35.0855209573335,8.187139713823433,10.613626249479308,23.30185918549746,101.1111454057224,2013
330,oti,46.36300983647641,11.44295342345948,11.624252482773699,32.56840589753852,98.90106572472301,2013
275,phi,53.129503163962156,12.78804161074152,14.57062837082567,36.396733815187396,104.52208347970493,2013
286,pit,46.36300983647641,12.262456404151788,8.472317941649438,34.900837457970475,96.20459621488186,2013
176,rai,38.092851325104945,9.238251003294872,10.179686962068738,26.293483624762327,81.7603177432085,2013
198,ram,41.10018169287638,10.084202408081058,10.534824154216832,28.70119146915378,101.67142591098144,2013
22,rav,35.83735354927636,9.386020440364756,6.904745642344119,26.714058176422764,114.27314635605445,2013
187,sdg,58.39233130756218,14.835919960170887,13.009566953032737,42.225310655870985,91.01093811038564,2013
308,sea,53.129503163962156,12.600473040743104,15.29204594774266,35.86288480826883,145.02998536147712,2013
297,sfo,49.1197293402669,11.45347635848502,14.891843060300976,32.59835578953429,125.23412092002665,2013
319,tam,35.33613182131445,8.640578925033566,9.170362320063635,24.59241694048015,90.50501124406564,2013
341,was,37.84224046112399,9.238424927466967,9.878284986168145,26.293978639713675,82.7007580624438,2013
12,atl,51.010616894171534,13.572590304023784,9.010469872914376,38.62968009606769,79.34809249786872,2014
34,buf,39.124647909121855,10.09610136591021,8.118418391291584,28.73505773374444,129.5167131038388,2014
45,car,44.324759340081094,10.811169877525488,11.608288602230058,30.770252728341774,96.9270008728129,2014
56,chi,41.600891447673874,10.854319105895346,8.173688560688092,30.893062070625216,73.57692805383024,2014
67,cin,45.5628811093571,10.95635485181468,12.535630978095138,31.183471501318706,106.35701199716492,2014
78,cle,35.65790695514904,8.924080606181148,8.46610139932828,25.39930634066942,108.71678902539277,2014
144,clt,53.98210914043397,14.361134605393461,9.5433978708536,40.8739984922737,109.31622847655073,2014
1,crd,37.63890178599065,9.958125748753163,6.8661984941381595,28.342357900297465,116.83824388801804,2014
89,dal,61.65846410994521,14.850640875089786,16.872307412358158,42.26720864448631,100.15357060500607,2014
100,den,57.20122574055158,14.908261386920742,11.302004015889816,42.43120548585134,106.35701199716492,2014
111,det,42.343764509239485,11.16241112392125,7.880166934467182,31.76993935269894,120.85586382933684,2014
122,gnb,65.12520506391803,16.570207075800916,14.418680400544282,47.16135860035645,99.60860906862746,2014
133,htx,41.848515801529075,10.013593759243888,11.70439681089687,28.50022839169414,121.54423465185134,2014
155,jax,28.97204940105859,7.145257832357624,7.284698387587149,20.336503061325544,96.39900081886302,2014
166,kan,47.79150029405392,11.576648326618885,12.824229865868995,32.948922160376824,116.18644562758213,2014
210,mia,49.277246417185125,12.319141827885979,11.75138097798377,35.0621728947524,91.76241528400742,2014
221,min,40.61039403225307,9.978102705239456,10.35515474162886,28.399215391835373,100.15357060500607,2014
243,nor,56.95360138669637,14.85120476460029,11.224303338649921,42.26881356078544,77.09865196078431,2014
232,nwe,59.42984492524839,15.286256120855205,12.522521137778059,43.50703665166481,111.75406415567026,2014
254,nyg,47.79150029405392,12.491858981205556,9.304188886689484,35.55375248496966,97.4577157701656,2014
265,nyj,37.88652613984585,8.754217533325061,11.793763931949409,24.915849902540558,89.7637958856706,2014
331,oti,30.953044231900208,7.947332315137729,6.57699032775053,22.619330435391994,83.03206678884739,2014
276,phi,48.53437335561952,12.317341059458611,10.866859336518012,35.05704763076681,104.054896693114,2014
287,pit,55.22023090970997,14.499859749316837,10.495585748125668,41.26883159420946,86.83099121175411,2014
177,rai,29.962546816479403,7.8217393921600875,5.871443133005715,22.26187365460948,85.39209779994852,2014
199,ram,38.38177484755626,9.662948414263266,8.892943608362641,27.5022377944416,115.53947530964754,2014
23,rav,52.74398737115795,13.07219899064462,13.015096419833304,37.20548943491161,109.31622847655073,2014
188,sdg,46.305754170922704,12.298630600691725,8.264479617831388,35.00379478658414,97.4577157701656,2014
309,sea,52.74398737115795,11.960880662048297,17.289397683665328,34.042506499675916,128.00864359663166,2014
298,sfo,39.619896616832264,9.30860051621856,11.741566262435027,26.49370916154513,102.92424740413995,2014
320,tam,35.162658247438635,9.050944390443739,7.3838653182965945,25.760380188186026,86.34939029959808,2014
342,was,39.124647909121855,10.067898657661154,8.226890346095644,28.654788487189435,84.91635072583841,2014
13,atl,45.45454545454545,11.919080255922363,8.702838176522386,33.9235361130098,94.7902885500183,2015
35,buf,48.17193675889328,11.266236818410732,14.474644039861431,32.065443252399774,101.72884118764374,2015
46,car,59.28853754940712,14.222888568270807,16.442827489016196,40.480529002001525,124.13341259647623,2015
57,chi,46.44268774703557,11.593202831789196,11.141983635715006,32.99603882893848,91.23678997047683,2015
68,cin,55.83003952569169,14.15521633348631,12.552907686651919,40.2879234106918,124.84590835466281,2015
79,cle,36.06719367588932,9.326685885190384,7.408763621873411,26.5451829040034,79.38159648127598,2015
145,clt,38.04347826086956,9.895858671314002,7.591179023374244,28.165136218355237,92.74540677648709,2015
2,crd,58.54743083003952,15.079719280123248,12.257996687881086,42.919201028043084,110.39832746478875,2015
90,dal,37.055335968379445,9.137768846170102,9.321138369093406,26.007495946791828,97.40346502262123,2015
101,den,39.03162055335968,9.990830751700317,8.411672542107324,28.435441370223977,129.2550963959943,2015
112,det,47.67786561264822,12.746789191130432,8.187326461599275,36.27932308244815,85.39784136546186,2015
123,gnb,45.20750988142292,11.20632772875319,11.147751362502946,31.894932766451383,110.39832746478875,2015
134,htx,38.78458498023715,9.862354698904882,8.609368518958117,28.069778758421588,119.98109673560393,2015
156,jax,45.701581027667984,12.021215756735337,8.606452014988744,34.214229461477494,89.25690179129435,2015
167,kan,49.16007905138339,11.82011266282704,13.530123081556082,33.64185911727696,119.30841125342732,2015
211,mia,37.5494071146245,9.751778317954248,7.552448853109997,27.755061366485165,94.7902885500183,2015
222,min,46.93675889328063,10.898001377328265,14.408720759135743,31.017388535472755,108.0071461280083,2015
244,nor,52.865612648221344,14.230851404764447,8.704691313386965,40.50319245971419,65.63998480821418,2015
233,nwe,57.80632411067193,15.522421491440234,9.665967811882336,44.17919962948374,117.9786705583997,2015
255,nyg,50.14822134387351,13.131324875254572,9.672769938592168,37.37377079880147,83.04880386969768,2015
266,nyj,48.17193675889328,12.212181566666983,10.83639500810662,34.75774753589833,124.13341259647623,2015
332,oti,37.055335968379445,9.514696183135221,7.871417842304492,27.080289136615626,88.76735361725858,2015
277,phi,40.0197628458498,10.266544656372384,8.537005198202902,29.220165560444475,92.24020924450865,2015
288,pit,51.87747035573122,13.563401953840447,10.086033835183443,38.60352863785358,107.4188913424888,2015
178,rai,44.219367588932805,11.55652629165601,8.615063061888563,32.89165175317479,95.82771142890222,2015
200,ram,31.86758893280632,7.51386721120427,9.34161744550501,21.385622062658307,119.30841125342732,2015
24,rav,40.0197628458498,10.577490121085606,7.341061103152053,30.10516419078211,92.74540677648709,2015
189,sdg,43.972332015810274,11.857233929916955,7.162052534676359,33.74751195437902,91.7373486021551,2015
310,sea,56.07707509881423,13.601341379378324,14.979638659429664,38.71151007976907,125.56457176583811,2015
299,sfo,31.620553359683793,8.001998309244685,7.167747457602529,22.774918264773333,89.74858760851193,2015
321,tam,45.701581027667984,11.211005019907434,11.722647156634519,31.90824505665962,80.74422801735585,2015
343,was,48.17193675889328,12.557531594823363,9.50812566904362,35.740666846804956,93.25297678524207,2015
14,atl,68.5771714872674,17.709319555323834,14.179838264244628,50.403447965152445,85.39784136546183,2016
36,buf,50.605223097500776,11.43120240849485,16.760104607405356,32.53496070110072,92.92346998858724,2016
47,car,42.801613928260004,10.734779323038628,10.074323932994208,30.55283345787917,103.14282960087955,2016
58,chi,35.234477764147734,9.004942035157994,7.646980874061933,25.629450407757364,87.23304294539925,2016
69,cin,44.22045195903105,11.255724049571507,9.773296006331476,32.03552229493429,105.87064361672462,2016
80,cle,34.052112738505194,8.450842463144857,8.3592950433414,24.05239777971998,76.19145668426124,2016
146,clt,52.96995314878587,13.782581922698428,10.554013306626015,39.227348549218604,89.56893906039079,2016
3,crd,48.00402004108718,12.348736335901872,10.10968429583588,35.146403417566866,108.6794409671857,2016
91,dal,57.935886256484544,13.803233279265335,16.43370474137631,39.2861254871398,103.14282960087955,2016
102,den,36.41684278979028,9.42248605465275,7.459880368314682,26.8178449247809,126.9911485434291,2016
113,det,49.18638506672972,13.141133097268206,8.480842475197958,37.401686507609504,85.85394991977203,2016
124,gnb,58.40883226674156,15.099589106624041,12.0152560023051,42.975753611160734,84.03994808061073,2016
135,htx,34.052112738505194,8.291877995556602,8.970696841757764,23.599960448891867,113.36000977849623,2016
157,jax,38.54509983594685,9.849790353377612,8.370310751683876,28.034018698074743,98.41695785219882,2016
168,kan,44.92987097441658,11.363281606381285,10.210915913987257,32.34164764893135,113.36000977849623,2016
212,mia,42.801613928260004,10.633767956248613,10.462829189878882,30.265339567784512,99.96744261675079,2016
223,min,39.49099185646089,10.569956421134492,6.735511684928097,30.083722121690478,112.16695677782673,2016
245,nor,61.24650832828365,16.20505207089777,11.168686644333567,46.12207127870904,76.19145668426124,2016
234,nwe,56.9899942359705,14.578360542847177,12.31737561067546,41.49225692964196,131.33223665218668,2016
256,nyg,35.234477764147734,9.24878017056393,6.709141891731408,26.323451254681952,131.33223665218668,2016
267,nyj,35.47095076927624,8.816030423199138,8.657331603134812,25.091778896797543,93.41122399949171,2016
333,oti,48.94991206160121,11.805217698039776,13.33521101992232,33.59946575595936,104.22465972880947,2016
278,phi,43.747505948774034,10.923423197109226,10.483840995801055,31.089742945618564,108.1108734065902,2016
289,pit,51.078169107757795,13.13913691954883,10.758660931044627,37.3960050787159,105.31881572920729,2016
179,rai,49.89580408211525,12.588971391354512,11.455844162559417,35.83014934462438,95.38485223669994,2016
201,ram,26.721449579521433,6.86043229329692,5.6794614442837235,19.52584575784508,103.68222891566265,2016
25,rav,40.20041087184641,10.581240473508036,7.543414301954022,30.11583827075364,115.79529017520312,2016
190,sdg,49.422858071858236,12.994459021560433,9.328741141766685,36.98422952290277,91.95451732867019,2016
311,sea,44.92987097441658,11.697710071604849,8.92465258620432,33.29348251149072,120.22786230133131,2016
300,sfo,36.65331579491879,8.651135783070004,10.710379788248689,24.622463382583852,80.49146330129706,2016
322,tam,42.328667918002985,10.916810631660201,8.806668302910504,31.070922567032877,99.96744261675079,2016
344,was,53.44289915904287,14.068856295895195,10.020493237408393,40.04212945754786,90.04196765388939,2016
15,atl,52.338229456133384,13.257169871822521,11.816760455734984,37.73194501980256,97.01734952118755,2017
37,buf,39.88884477967448,9.362783816237496,11.855906750080546,26.64792316929133,93.8050044320118,2017
48,car,50.051607780865425,11.847498674601814,14.494626742416145,33.719803920020546,103.18274499466469,2017
59,chi,33.53711790393013,8.044750524458607,9.303193313721518,22.896597646536033,106.71702690419684,2017
70,cin,37.09408495434696,9.47886560076645,8.055726557653095,26.978309786796817,97.56251075685212,2017
81,cle,30.996427153632393,7.676563343870147,7.6704689540890785,21.84868028639965,88.65543662510935,2017
147,clt,36.077808654227866,8.814602271359016,9.391053956769543,25.08771415694489,85.67520667167817,2017
4,crd,35.82373957919809,9.34432432014021,7.048778571421528,26.595384603475978,105.5243018346819,2017
92,dal,51.32195315601429,12.12233690204503,14.961971087043954,34.50203579812816,100.89640609012858,2017
103,den,34.29932512901945,8.4286306435499,8.741379987323738,23.989179523949712,100.3330129292125,2017
114,det,49.79753870583565,13.4495374634642,8.028056202909701,38.27945278062887,100.3330129292125,2017
125,gnb,45.4783644303295,11.215393348853489,11.437909051574291,31.92073491596762,82.29086956119922,2017
136,htx,41.41325922985312,10.156958595753355,10.630685707541602,28.90826677252878,83.72967050993626,2017
158,jax,46.24057165541881,11.112967226006669,12.74650434801539,31.62921441248052,137.29794832853554,2017
169,kan,56.14926558157999,14.218670800327923,12.691923312019371,40.4685245855487,96.47505527180724,2017
213,mia,34.553394204049226,8.97337710482534,6.951084180146235,25.539611759887507,89.6663609520401,2017
224,min,51.57602223104406,12.812441863741183,12.612604124402162,36.46618068910952,128.35055774278212,2017
246,nor,61.23064708217546,15.347233526787633,14.448955241735035,43.68058773008788,102.03290994875643,2017
235,nwe,66.31202858277095,17.00486623182163,14.171102638472714,48.398465429030786,111.01614617508748,2017
257,nyg,30.996427153632393,7.899376379584821,6.8134957398018745,22.48284046497218,92.75550822260499,2017
268,nyj,38.110361254466056,9.426649356780361,9.476089825434805,26.829694323144103,93.8050044320118,2017
334,oti,43.69988090512108,10.676563974356093,11.376149492468018,30.387143619321186,98.66162426347258,2017
279,phi,56.14926558157999,13.753911506446556,14.479459057716928,39.1457481337325,119.59131782634313,2017
290,pit,56.65740373163954,14.779580562469908,11.144343853083182,42.06496006241435,106.71702690419684,2017
180,rai,42.93767368003176,11.009202969294503,9.182120072597728,31.33388537414589,85.18583105100993,2017
202,ram,59.198094481937275,14.76165595973239,14.262113533200164,42.01394388539219,107.31910746661187,2017
26,rav,46.74870980547836,11.291247825725621,12.67057551378318,32.13662842706523,116.86228765071587,2017
191,sdg,47.76498610559746,12.557276497900144,9.020766027101022,35.73994080171579,118.9009057039323,2017
312,sea,43.4458118300913,11.07128888484454,9.55309386978441,31.510591441480614,106.11878105080615,2017
301,sfo,45.224295355299724,11.614238036022233,9.599008133966471,33.05590825637097,89.6663609520401,2017
323,tam,45.4783644303295,12.088018106044524,8.081659985454921,34.404359224895956,82.29086956119922,2017
345,was,43.95394998015085,11.442605878639815,8.734717366027887,32.56741673151332,98.11058623681654,2017
16,atl,54.42639680244918,14.430069388734236,9.811409283191967,41.07019749101282,81.9957100537507,2018
38,buf,31.521954814751822,7.4066512409322325,9.339225620270525,21.08046891649943,108.80064836227955,2018
49,car,48.75698046886073,11.977032524357522,12.442866853565485,34.088477184709866,90.8179159471708,2018
60,chi,46.94276724211242,11.578693856859223,11.79788277953789,32.954744054137784,131.89468749598296,2018
71,cin,46.03566062873826,11.474011295861173,11.111980078096783,32.65680138052795,77.40385126681264,2018
82,cle,41.04657425518043,10.36337589044475,9.396751066044402,29.495762149727362,106.09751849306863,2018
148,clt,53.97284349576211,14.055613177147217,10.707361513579079,40.00443750418823,108.80064836227955,2018
5,crd,24.718655214445675,6.119999204684025,6.1239277777808665,17.418459274869917,94.07585549689863,2018
93,dal,44.448224055333505,10.925399110505689,11.317103056762944,31.095366699131574,104.51212954061972,2018
104,den,39.00558437508858,9.706484176373156,9.474069802517247,27.626147271215903,109.35084767828354,2018
115,det,41.273350908523966,10.449816268998573,9.336420055618868,29.74178476561132,101.41761728555802,2018
126,gnb,46.26243728208181,12.011068197927013,9.31850859262504,34.18534794794611,92.66758534527281,2018
137,htx,46.03566062873826,11.388321000609782,11.441558136755978,32.41291361712015,115.04467874133452,2018
159,jax,28.120305014598745,6.913359623412345,7.154521312086407,19.67648508201975,115.04467874133452,2018
170,kan,70.75431584318395,18.49994116773972,13.751559135898734,52.653678708182284,83.7081680631443,2018
