,team,season,offensive_points_per_drive,defensive_points_per_drive,total_offense_points,team_rush_yards,team_total_yards,team_passing_yards,league_avg_offensive_points_per_drive,league_avg_defensive_points_per_drive,team_offense_points,oline,team_points_for_skill_positions,rb,qb,wrte,M,dst,team_receiving_yards
333,oti,2016,2.07,1.84,381,2187,5728,3541,1.9221875,1.919375,107.68980653552266,48.94991206160121,58.73989447392145,13.33521101992232,11.805217698039776,33.59946575595936,0.9586453923803322,104.22465972880947,3541
278,phi,2016,1.85,1.77,367,1813,5398,3585,1.9221875,1.919375,96.24451308730288,43.747505948774034,52.49700713852884,10.483840995801055,10.923423197109226,31.089742945618564,0.9221751872354281,108.1108734065902,3585
289,pit,2016,2.16,1.82,399,1760,5962,4202,1.9221875,1.919375,112.37197203706715,51.078169107757795,61.29380292930936,10.758660931044627,13.13913691954883,37.3960050787159,0.9482253337675024,105.31881572920729,4202
179,rai,2016,2.11,2.01,416,1922,5973,4051,1.9221875,1.919375,109.77076898065356,49.89580408211525,59.87496489853831,11.455844162559417,12.588971391354512,35.83014934462438,1.0472158905893845,95.38485223669994,4051
201,ram,2016,1.13,1.85,224,1252,4203,2951,1.9221875,1.919375,58.78718907494716,26.721449579521433,32.065739495425724,5.6794614442837235,6.86043229329692,19.52584575784508,0.963855421686747,103.68222891566265,2951
25,rav,2016,1.7,1.64,343,1463,5563,4100,1.9221875,1.919375,88.4409039180621,40.20041087184641,48.2404930462157,7.543414301954022,10.581240473508036,30.11583827075364,0.8544448062520351,115.79529017520312,4100
190,sdg,2016,2.09,2.08,410,1510,5708,4198,1.9221875,1.919375,108.73028775808812,49.422858071858236,59.30742968622989,9.328741141766685,12.994459021560433,36.98422952290277,1.0836860957342884,91.95451732867019,4198
311,sea,2016,1.9,1.57,354,1591,5715,4124,1.9221875,1.919375,98.84571614371647,44.92987097441658,53.91584516929989,8.92465258620432,11.697710071604849,33.29348251149072,0.8179746011071313,120.22786230133131,4124
300,sfo,2016,1.55,2.33,309,2019,4930,2911,1.9221875,1.919375,80.63729474882133,36.65331579491879,43.98397895390254,10.710379788248689,8.651135783070004,24.622463382583852,1.2139368283946597,80.49146330129706,2911
322,tam,2016,1.79,1.92,354,1616,5542,3926,1.9221875,1.919375,93.12306941960657,42.328667918002985,50.79440150160358,8.806668302910504,10.916810631660201,31.070922567032877,1.000325626831651,99.96744261675079,3926
344,was,2016,2.26,2.12,396,1696,6454,4758,1.9221875,1.919375,117.57437814989432,53.44289915904287,64.13147899085145,10.020493237408393,14.068856295895195,40.04212945754786,1.104526212959948,90.04196765388939,4758
15,atl,2017,2.06,1.84,353,1847,5837,3990,1.7890625,1.7859375,115.14410480349345,52.338229456133384,62.805875347360065,11.816760455734984,13.257169871822521,37.73194501980256,1.0302712160979879,97.01734952118755,3990
37,buf,2017,1.57,1.9,302,2017,4842,2825,1.7890625,1.7859375,87.75545851528385,39.88884477967448,47.86661373560937,11.855906750080546,9.362783816237496,26.64792316929133,1.063867016622922,93.8050044320118,2825
48,car,2017,1.97,1.73,363,2102,5179,3077,1.7890625,1.7859375,110.11353711790393,50.051607780865425,60.06192933703851,14.494626742416145,11.847498674601814,33.719803920020546,0.9686789151356081,103.18274499466469,3077
59,chi,2017,1.32,1.67,264,1788,4599,2811,1.7890625,1.7859375,73.78165938864629,33.53711790393013,40.24454148471616,9.303193313721518,8.044750524458607,22.896597646536033,0.9350831146106736,106.71702690419684,2811
70,cin,2017,1.46,1.83,290,1366,4488,3122,1.7890625,1.7859375,81.60698689956332,37.09408495434696,44.51290194521636,8.055726557653095,9.47886560076645,26.978309786796817,1.0246719160104987,97.56251075685212,3122
81,cle,2017,1.22,2.0,234,1714,4942,3228,1.7890625,1.7859375,68.19213973799127,30.996427153632393,37.19571258435887,7.6704689540890785,7.676563343870147,21.84868028639965,1.1198600174978128,88.65543662510935,3228
147,clt,2017,1.42,2.06,263,1661,4553,2892,1.7890625,1.7859375,79.37117903930131,36.077808654227866,43.293370385073445,9.391053956769543,8.814602271359016,25.08771415694489,1.1534558180227472,85.67520667167817,2892
4,crd,2017,1.41,1.69,295,1386,5026,3640,1.7890625,1.7859375,78.8122270742358,35.82373957919809,42.98848749503772,7.048778571421528,9.34432432014021,26.595384603475978,0.9462817147856518,105.5243018346819,3640
92,dal,2017,2.02,1.77,354,2170,5311,3141,1.7890625,1.7859375,112.90829694323143,51.32195315601429,61.586343787217146,14.961971087043954,12.12233690204503,34.50203579812816,0.9910761154855643,100.89640609012858,3141
103,den,2017,1.35,1.78,289,1852,5185,3333,1.7890625,1.7859375,75.4585152838428,34.29932512901945,41.15919015482335,8.741379987323738,8.4286306435499,23.989179523949712,0.9966754155730534,100.3330129292125,3333
114,det,2017,1.96,1.78,410,1221,5404,4183,1.7890625,1.7859375,109.55458515283843,49.79753870583565,59.75704644700278,8.028056202909701,13.4495374634642,38.27945278062887,0.9966754155730534,100.3330129292125,4183
125,gnb,2017,1.79,2.13,320,1724,4891,3167,1.7890625,1.7859375,100.0524017467249,45.4783644303295,54.5740373163954,11.437909051574291,11.215393348853489,31.92073491596762,1.1926509186351706,82.29086956119922,3167
136,htx,2017,1.63,2.1,338,1842,5120,3278,1.7890625,1.7859375,91.10917030567686,41.41325922985312,49.69591107582374,10.630685707541602,10.156958595753355,28.90826677252878,1.1758530183727034,83.72967050993626,3278
158,jax,2017,1.82,1.24,417,2262,5855,3593,1.7890625,1.7859375,101.7292576419214,46.24057165541881,55.48868598650258,12.74650434801539,11.112967226006669,31.62921441248052,0.694313210848644,137.29794832853554,3593
169,kan,2017,2.21,1.85,415,1903,6007,4104,1.7890625,1.7859375,123.52838427947599,56.14926558157999,67.37911869789599,12.691923312019371,14.218670800327923,40.4685245855487,1.0358705161854769,96.47505527180724,4104
213,mia,2017,1.36,1.98,281,1388,4923,3535,1.7890625,1.7859375,76.0174672489083,34.553394204049226,41.46407304485908,6.951084180146235,8.97337710482534,25.539611759887507,1.1086614173228346,89.6663609520401,3535
224,min,2017,2.03,1.35,382,1957,5710,3753,1.7890625,1.7859375,113.46724890829692,51.57602223104406,61.89122667725287,12.612604124402162,12.812441863741183,36.46618068910952,0.7559055118110237,128.35055774278212,3753
246,nor,2017,2.41,1.75,448,2070,6259,4189,1.7890625,1.7859375,134.707423580786,61.23064708217546,73.47677649861055,14.448955241735035,15.347233526787633,43.68058773008788,0.9798775153105862,102.03290994875643,4189
235,nwe,2017,2.61,1.6,458,1889,6307,4418,1.7890625,1.7859375,145.88646288209608,66.31202858277095,79.57443429932513,14.171102638472714,17.00486623182163,48.398465429030786,0.8958880139982502,111.01614617508748,4418
257,nyg,2017,1.22,1.92,246,1549,5028,3479,1.7890625,1.7859375,68.19213973799127,30.996427153632393,37.19571258435887,6.8134957398018745,7.899376379584821,22.48284046497218,1.0750656167979002,92.75550822260499,3479
268,nyj,2017,1.5,1.9,298,1702,4884,3182,1.7890625,1.7859375,83.84279475982532,38.110361254466056,45.73243350535927,9.476089825434805,9.426649356780361,26.829694323144103,1.063867016622922,93.8050044320118,3182
334,oti,2017,1.72,1.81,334,1833,5024,3191,1.7890625,1.7859375,96.13973799126637,43.69988090512108,52.439857086145295,11.376149492468018,10.676563974356093,30.387143619321186,1.0134733158355207,98.66162426347258,3191
279,phi,2017,2.21,1.47,457,2115,5852,3737,1.7890625,1.7859375,123.52838427947599,56.14926558157999,67.37911869789599,14.479459057716928,13.753911506446556,39.1457481337325,0.8230971128608924,119.59131782634313,3737
290,pit,2017,2.23,1.67,406,1667,6047,4380,1.7890625,1.7859375,124.646288209607,56.65740373163954,67.98888447796745,11.144343853083182,14.779580562469908,42.06496006241435,0.9350831146106736,106.71702690419684,4380
180,rai,2017,1.69,2.07,301,1554,5185,3631,1.7890625,1.7859375,94.46288209606988,42.93767368003176,51.52520841603812,9.182120072597728,11.009202969294503,31.33388537414589,1.1590551181102362,85.18583105100993,3631
202,ram,2017,2.33,1.66,478,1953,5784,3831,1.7890625,1.7859375,130.235807860262,59.198094481937275,71.03771337832474,14.262113533200164,14.76165595973239,42.01394388539219,0.9294838145231846,107.31910746661187,3831
26,rav,2017,1.84,1.51,395,1856,4886,3030,1.7890625,1.7859375,102.8471615720524,46.74870980547836,56.09845176657404,12.67057551378318,11.291247825725621,32.13662842706523,0.8454943132108487,116.86228765071587,3030
191,sdg,2017,1.88,1.48,355,1595,6026,4431,1.7890625,1.7859375,105.08296943231441,47.76498610559746,57.317983326716956,9.020766027101022,12.557276497900144,35.73994080171579,0.8286964129483815,118.9009057039323,4431
312,sea,2017,1.71,1.68,366,1629,5286,3657,1.7890625,1.7859375,95.58078602620087,43.4458118300913,52.13497419610957,9.55309386978441,11.07128888484454,31.510591441480614,0.9406824146981627,106.11878105080615,3657
301,sfo,2017,1.78,1.98,331,1662,5587,3925,1.7890625,1.7859375,99.4934497816594,45.224295355299724,54.26915442635967,9.599008133966471,11.614238036022233,33.05590825637097,1.1086614173228346,89.6663609520401,3925
323,tam,2017,1.79,2.13,335,1448,5814,4366,1.7890625,1.7859375,100.0524017467249,45.4783644303295,54.5740373163954,8.081659985454921,12.088018106044524,34.404359224895956,1.1926509186351706,82.29086956119922,4366
345,was,2017,1.73,1.82,342,1448,5199,3751,1.7890625,1.7859375,96.69868995633188,43.95394998015085,52.74473997618102,8.734717366027887,11.442605878639815,32.56741673151332,1.0190726159230097,98.11058623681654,3751
16,atl,2018,2.4,2.39,414,1573,6226,4653,2.004375,1.998125,119.73807296538821,54.42639680244918,65.31167616293902,9.811409283191967,14.430069388734236,41.07019749101282,1.1961213637785424,81.9957100537507,4653
38,buf,2018,1.39,1.83,269,1984,4778,2794,2.004375,1.998125,69.34830059245401,31.521954814751822,37.82634577770219,9.339225620270525,7.4066512409322325,21.08046891649943,0.9158586174538631,108.80064836227955,2794
49,car,2018,2.15,2.19,376,2136,5972,3836,2.004375,1.998125,107.26535703149361,48.75698046886073,58.508376562632876,12.442866853565485,11.977032524357522,34.088477184709866,1.0960275258054426,90.8179159471708,3836
60,chi,2018,2.07,1.46,421,1938,5502,3564,2.004375,1.998125,103.27408793264732,46.94276724211242,56.3313206905349,11.79788277953789,11.578693856859223,32.954744054137784,0.7306850172036284,131.89468749598296,3564
71,cin,2018,2.03,2.5,368,1682,4972,3290,2.004375,1.998125,101.27845338322417,46.03566062873826,55.24279275448591,11.111980078096783,11.474011295861173,32.65680138052795,1.2511729746637472,77.40385126681264,3290
82,cle,2018,1.81,1.88,359,1893,5900,4007,2.004375,1.998125,90.30246336139695,41.04657425518043,49.255889106216515,9.396751066044402,10.36337589044475,29.495762149727362,0.9408820769471379,106.09751849306863,4007
148,clt,2018,2.38,1.83,433,1718,6179,4461,2.004375,1.998125,118.74025569067665,53.97284349576211,64.76741219491453,10.707361513579079,14.055613177147217,40.00443750418823,0.9158586174538631,108.80064836227955,4461
5,crd,2018,1.09,2.12,225,1342,3865,2523,2.004375,1.998125,54.381041471780485,24.718655214445675,29.66238625733481,6.1239277777808665,6.119999204684025,17.418459274869917,1.0609946825148577,94.07585549689863,2523
93,dal,2018,1.96,1.91,339,1963,5501,3538,2.004375,1.998125,97.78609292173371,44.448224055333505,53.33786886640021,11.317103056762944,10.925399110505689,31.095366699131574,0.9558961526431029,104.51212954061972,3538
104,den,2018,1.72,1.82,329,1907,5602,3695,2.004375,1.998125,85.81228562519489,39.00558437508858,46.80670125010631,9.474069802517247,9.706484176373156,27.626147271215903,0.910853925555208,109.35084767828354,3695
115,det,2018,1.82,1.97,324,1660,5236,3576,2.004375,1.998125,90.80137199875273,41.273350908523966,49.52802109022876,9.336420055618868,10.449816268998573,29.74178476561132,0.9859243040350328,101.41761728555802,3576
126,gnb,2018,2.04,2.15,376,1667,5905,4238,2.004375,1.998125,101.77736202057999,46.26243728208181,55.51492473849817,9.31850859262504,12.011068197927013,34.18534794794611,1.0760087582108226,92.66758534527281,4238
137,htx,2018,2.03,1.72,402,2021,5802,3781,2.004375,1.998125,101.27845338322417,46.03566062873826,55.24279275448591,11.441558136755978,11.388321000609782,32.41291361712015,0.8608070065686582,115.04467874133452,3781
159,jax,2018,1.24,1.72,245,1723,4832,3109,2.004375,1.998125,61.86467103211724,28.120305014598745,33.7443660175185,7.154521312086407,6.913359623412345,19.67648508201975,0.8608070065686582,115.04467874133452,3109
170,kan,2018,3.12,2.35,565,1855,6810,4955,2.004375,1.998125,155.65949485500468,70.75431584318395,84.90517901182074,13.751559135898734,18.49994116773972,52.653678708182284,1.1761025961839224,83.7081680631443,4955
214,mia,2018,1.59,2.27,319,1738,4638,2900,2.004375,1.998125,79.32647333956969,36.057487881622585,43.2689854579471,9.640880435241574,8.743307305903437,24.88479771680209,1.1360650609946825,87.20831082691785,2900
225,min,2018,1.8,1.63,360,1493,5529,4036,2.004375,1.998125,89.80355472404116,40.81979760183689,48.983757122204274,7.864774366294289,10.690935516536596,30.428047239373388,0.8157647794807632,120.50393894007227,4036
247,nor,2018,2.96,2.1,504,2025,6067,4042,2.004375,1.998125,147.67695665731213,67.12588938968733,80.5510672676248,15.986128086692675,16.786884187042354,47.778054993889775,1.0509852987175479,95.02513982602736,4042
236,nwe,2018,2.27,1.75,436,2037,6295,4258,2.004375,1.998125,113.25226067976301,51.47830030898319,61.773960370779825,11.885616040427312,12.970969525891652,36.917374804460856,0.8758210822646231,113.29823160105457,4258
258,nyg,2018,1.97,2.18,369,1650,5697,4047,2.004375,1.998125,98.2850015590895,44.67500070867704,53.610000850412455,9.232184937876132,11.538232137259444,32.83958377527688,1.0910228339067878,91.27741335053217,4047
269,nyj,2018,1.57,2.08,333,1622,4787,3165,2.004375,1.998125,78.32865606485812,35.60393457493551,42.724721489922615,8.607709854089052,8.870423025316727,25.246588610516838,1.0409759149202378,95.98305521552658,3165
335,oti,2018,1.82,1.72,310,2027,5002,2975,2.004375,1.998125,90.80137199875273,41.273350908523966,49.52802109022876,11.933888998442038,9.774474343864549,27.819657747922175,0.8608070065686582,115.04467874133452,2975
280,phi,2018,2.07,1.98,367,1570,5845,4275,2.004375,1.998125,103.27408793264732,46.94276724211242,56.3313206905349,8.996757758541953,12.306986362318167,35.02757656967478,0.9909289959336879,100.91125222351761,4275
291,pit,2018,2.23,1.88,428,1445,6453,5008,2.004375,1.998125,111.25662613033988,50.57119369560903,60.68543243473085,8.080004259908836,13.677411325453724,38.928016849368284,0.9408820769471379,106.09751849306863,5008
181,rai,2018,1.57,2.52,290,1628,5379,3751,2.004375,1.998125,78.32865606485812,35.60393457493551,42.724721489922615,7.688702435814294,9.109364954068164,25.92665410004016,1.2611823584610573,76.58621937853444,3751
203,ram,2018,2.66,2.11,527,2231,6738,4507,2.004375,1.998125,132.7096975366386,60.32258978938118,72.38710774725742,14.251177358149777,15.115341901167987,43.020588487939655,1.0559899906162027,94.54943411847896,4507
27,rav,2018,2.06,1.59,389,2441,5999,3558,2.004375,1.998125,102.77517929529155,46.71599058876888,56.05918870652267,13.563028756674223,11.049001586960596,31.44715836288785,0.7957460118861434,123.04681890254818,3558
192,sdg,2018,2.4,1.82,428,1873,5962,4089,2.004375,1.998125,119.73807296538821,54.42639680244918,65.31167616293902,12.199937115107687,13.809052152436148,39.30268689539519,0.910853925555208,109.35084767828354,4089
313,sea,2018,2.3,1.88,428,2560,5653,3093,2.004375,1.998125,114.74898659183036,52.1586302690138,62.59035632281656,16.85347109691113,11.891590158735413,33.84529506717002,0.9408820769471379,106.09751849306863,3093
302,sfo,2018,1.86,2.25,342,1902,5769,3867,2.004375,1.998125,92.79700654817586,42.18045752189811,50.616549026277745,9.922553805547667,10.580438757389821,30.11355646334026,1.1260556771973727,88.09999391790913,3867
324,tam,2018,2.15,2.38,396,1523,6648,5125,2.004375,1.998125,107.26535703149361,48.75698046886073,58.508376562632876,7.969808701286212,13.140027643950132,37.39854021739653,1.1911166718798873,82.4215823723922,5125
346,was,2018,1.61,1.96,281,1774,4795,3021,2.004375,1.998125,80.32429061428125,36.51104118830966,43.81324942597159,9.638099927271197,8.885538869662103,25.28961062903829,0.9809196121363779,101.92659592379334,3021
17,atl,2019,2.12,2.26,381,1361,6075,4714,1.948125,1.9446875,108.82258581969842,49.46481173622655,59.35777408347187,7.906975738437613,13.377207569708906,38.07359077532534,1.162140446729873,84.91703739801963,4714
39,buf,2019,1.63,1.3,314,2054,5283,3229,1.948125,1.9446875,83.67019570099454,38.0319071368157,45.63828856417884,10.550429391767134,9.122843384827044,25.965015787584665,0.6684878675879802,141.37127969752405,3229
50,car,2019,1.74,2.26,340,1819,5469,3650,1.948125,1.9446875,89.31665062560154,40.598477557091606,48.718173068509934,9.634667387464631,10.16171147707178,28.921794203973523,1.162140446729873,84.91703739801963,3650
61,chi,2019,1.51,1.66,280,1458,4749,3291,1.948125,1.9446875,77.51042669233237,35.23201213287835,42.27841455945402,7.717826372602181,8.985752928581478,25.574835258270358,0.8536075847661899,115.8945454604857,3291
72,cin,2019,1.49,2.1,279,1517,5169,3652,1.948125,1.9446875,76.48379852422201,34.76536296555546,41.71843555866655,7.279943678451776,8.954007888855841,25.48448399135893,1.079865016872891,92.30883248968878,3652
83,cle,2019,1.83,2.07,335,1901,5455,3554,1.948125,1.9446875,93.93647738209816,42.698398810044615,51.238078572053546,10.616983783984063,10.561484644898066,30.05961014317142,1.0644383737747067,93.75120933058834,3554
149,clt,2019,2.02,2.04,361,2130,5238,3108,1.948125,1.9446875,103.68944497914661,47.1315658996121,56.557879079534516,13.675026643483625,11.149541633373232,31.733310802677657,1.0490117306765228,95.21332277989934,3108
6,crd,2019,2.02,2.38,361,1990,5467,3477,1.948125,1.9446875,103.68944497914661,47.1315658996121,56.557879079534516,12.24103315767836,11.522379939682601,32.794465982173556,1.2238470191226096,79.66242845563423,3477
94,dal,2019,2.43,1.87,434,2153,6904,4751,1.948125,1.9446875,124.73532242540905,56.697873829731385,68.03744859567766,12.615725275527183,14.409648063239125,41.01207525691135,0.9615940864534791,103.91728765593567,4751
105,den,2019,1.6,1.74,282,1662,4777,3115,1.948125,1.9446875,82.130253448829,37.33193338583136,44.79832006299763,9.267411837031302,9.238036138751246,26.292872087215084,0.8947452996946811,111.1445597279096,3115
116,det,2019,1.77,2.23,341,1649,5549,3900,1.948125,1.9446875,90.85659287776708,41.29845130807595,49.55814156969114,8.756728798786511,10.608367320435203,30.193045450469423,1.1467138036316888,86.26716856281018,3900
127,gnb,2019,2.11,1.79,376,1795,5528,3733,1.948125,1.9446875,108.30927173564324,49.23148715256511,59.07778458307813,11.406215596206808,12.394607936586544,35.276961050284775,0.920456371524988,108.29806131201876,3733
138,htx,2019,2.18,2.22,378,2009,5792,3783,1.948125,1.9446875,111.90247032402952,50.864759238195234,61.03771108583429,12.588401311089406,12.59682054143367,35.85248923331121,1.1415715892656277,86.72068855473663,3783
160,jax,2019,1.63,2.12,300,1708,5468,3760,1.948125,1.9446875,83.67019570099454,38.0319071368157,45.63828856417884,8.476365344745767,9.6621000370526,27.499823182380478,1.0901494456050138,91.35779894616441,3760
171,kan,2019,2.59,1.88,451,1569,6067,4498,1.948125,1.9446875,132.94834777029195,60.43106716831452,72.51728060197743,11.15093835868414,15.955248983256256,45.411093260037035,0.9667363008195404,103.38359719306554,4498
215,mia,2019,1.61,2.55,306,1156,4960,3804,1.948125,1.9446875,82.64356753288418,37.565257969492805,45.07830956339137,6.246902619966049,10.096165805290584,28.735241138134736,1.3112646633456533,72.56789428369773,3804
226,min,2019,2.29,1.76,407,2133,5656,3523,1.948125,1.9446875,117.54892524863651,53.431329658471135,64.11759559016537,14.377376288581846,12.932457018411716,36.807762283171805,0.9050297284268038,109.99531755593254,3523
248,nor,2019,2.5,1.95,458,1738,5982,4244,1.948125,1.9446875,128.3285210137953,58.331145915361496,69.99737509843379,12.092220961369309,15.055340075636767,42.84981406142772,1.0027318013819702,99.72719198218354,4244
237,nwe,2019,1.97,0.98,420,1703,5664,3961,1.948125,1.9446875,101.1228745588707,45.964942981304866,55.15793157756584,9.86098576349959,11.777205911657225,33.51973990240902,0.5039370078740157,174.0218996062992,3961
259,nyg,2019,1.75,2.25,341,1685,5416,3731,1.948125,1.9446875,89.82996470965672,40.831802140753055,48.998162568903666,9.064043906090356,10.382870852331461,29.55124781048185,1.1569982323638117,85.36536615958718,3731
270,nyj,2019,1.23,1.78,276,1257,4368,3111,1.948125,1.9446875,63.13763233878729,28.69892379035786,34.43870854842943,5.892783178634958,7.421940596146563,21.123984773647912,0.9153141571589266,108.86034551284021,3111
336,oti,2019,2.02,1.78,402,2223,5805,3582,1.948125,1.9446875,103.68944497914661,47.1315658996121,56.557879079534516,12.878085686913494,11.356746282081467,32.323047110539555,0.9153141571589266,108.86034551284021,3582
281,phi,2019,1.96,1.86,385,1939,5772,3833,1.948125,1.9446875,100.60956047481552,45.731618397643416,54.87794207717211,10.961506869734636,11.418273153933743,32.49816205350373,0.9564518720874178,104.45395209455384,3833
292,pit,2019,1.4,1.52,289,1447,4428,2981,1.948125,1.9446875,71.86397176772537,32.665441712602444,39.19853005512293,7.616433541924749,8.211345093431527,23.370751419766652,0.7816165836413306,124.88915437056502,2981
182,rai,2019,1.83,2.39,313,1893,5819,3926,1.948125,1.9446875,93.93647738209816,42.698398810044615,51.238078572053546,9.910967428283591,10.745048897380189,30.582062246389764,1.2289892334886712,79.23437723770033,3926
204,ram,2019,1.98,1.83,394,1499,5998,4499,1.948125,1.9446875,101.63618864292589,46.19826756496631,55.43792107795958,8.238024212165096,12.271973185106567,34.92792368068792,0.9410252289892336,106.08227680190443,4499
28,rav,2019,2.95,1.63,531,3296,6521,3225,1.948125,1.9446875,151.42765479627846,68.83075218012657,82.5969026161519,24.82319741418538,15.021163352511294,42.75254184945522,0.8381809416680057,117.74394371414574,3225
193,sdg,2019,2.06,1.99,337,1453,5879,4426,1.948125,1.9446875,105.74270131536734,48.06486423425788,57.67783708110946,8.476022030473766,12.792471913165281,36.409343137470415,1.0233006588462157,97.69646203256359,4426
314,sea,2019,2.07,2.02,405,2200,5991,3791,1.948125,1.9446875,106.2560153994225,48.29818881791932,57.95782658150318,12.654832729024859,11.778778401644363,33.52421545083396,1.0387273019443999,96.19946411070079,3791
303,sfo,2019,2.44,1.63,479,2305,6097,3792,1.948125,1.9446875,125.24863650946422,56.93119841339283,68.31743809607138,15.357031086851663,13.769705822397128,39.190701186822594,0.8381809416680057,117.74394371414574,3792
325,tam,2019,2.11,2.01,458,1521,6366,4845,1.948125,1.9446875,108.30927173564324,49.23148715256511,59.07778458307813,8.392816685427483,13.178091653389167,37.50687624426148,1.0335850875783383,96.69605656635672,4845
347,was,2019,1.5,2.38,266,1583,4395,2812,1.948125,1.9446875,76.99711260827719,34.9986875492169,41.99842505906029,8.994478683435315,8.581026057662495,24.422920317962483,1.2238470191226096,79.66242845563423,2812
18,atl,2020,2.26,2.39,396,1532,5895,4363,2.210625,2.2121875,102.23353124116483,46.46978692780219,55.763744313362636,8.616836248481647,12.258196096869058,34.88871196801193,1.0803785845458398,92.26114399446533,4363
40,buf,2020,2.8,2.22,501,1723,6343,4620,2.210625,2.2121875,126.66101215719537,57.573187344179715,69.08782481301566,11.158685622210362,15.061576189609378,42.86756300119592,1.0035315722559683,99.64746417999437,4620
51,car,2020,2.09,2.5,350,1704,5592,3888,2.210625,2.2121875,94.54339836019226,42.97427198190557,51.56912637828669,9.343576777970515,10.978642896082205,31.246906704233965,1.1301031219098743,87.73859390450629,3888
62,chi,2020,2.03,2.01,372,1647,5302,3655,2.210625,2.2121875,91.82923381396664,41.74056082453029,50.08867298943635,9.25154697920844,10.617652762659256,30.21947324756865,0.9086029100155387,109.59939430021808,3655
73,cin,2020,1.7,2.3,311,1668,5116,3448,2.210625,2.2121875,76.90132880972577,34.955149458966254,41.946179350759515,8.131653727867375,8.791776661951957,25.022748960940184,1.0396948721570842,96.10628900084144,3448
84,cle,2020,2.38,2.45,408,2374,5913,3539,2.210625,2.2121875,107.66186033361606,48.937209242552754,58.72465109106331,14.018909673070578,11.623492768678108,33.082248649314614,1.1075010594716768,89.77163069988555,3539
150,clt,2020,2.36,2.01,451,1996,6049,4053,2.210625,2.2121875,106.75713881820752,48.52597219009433,58.23116662811319,11.42492611677475,12.169622532947995,34.63661797839045,0.9086029100155387,109.59939430021808,4053
7,crd,2020,2.3,2.02,410,2237,6153,3916,2.210625,2.2121875,104.0429742719819,47.29226103271905,56.75071323926286,12.267931711435347,11.565523197235153,32.91725833059236,0.9131233225031783,109.10095021147477,3916
95,dal,2020,2.08,2.49,395,1788,5949,4161,2.210625,2.2121875,94.09103760248799,42.76865345567636,51.32238414681163,9.17173135071069,10.959169726986245,31.191483069114696,1.1255827094222348,88.14230027186015,4161
